Eye should be at what fraction of target value? 1.0
  goal   eyepos    peak    tpeak  PW  diff     PH     iter   %error
  -----------------------------------------------------------------
  0.05   0.0502   0.0898    35    15   20    1.2368     62   0.4719
  0.10   0.1004   0.1795    35    15   20    2.4727      1   0.4336
  0.20   0.2008   0.3588    35    15   20    4.9438      1   0.3984
  0.30   0.3011   0.5380    35    15   20    7.4135      1   0.3660
  0.40   0.4013   0.7171    35    15   20    9.8819      1   0.3363
  0.50   0.5015   0.8962    35    15   20   12.3493      1   0.3090
  0.60   0.6017   1.0751    35    15   20   14.8158      1   0.2839
  0.70   0.7018   1.2540    35    15   20   17.2814      1   0.2609
  0.80   0.8019   1.4329    35    15   20   19.7464      1   0.2397
  0.90   0.9020   1.6117    35    15   20   22.2107      1   0.2202
  1.00   1.0020   1.7904    35    15   20   24.6745      1   0.2023
  2.00   2.0037   3.5802    35    15   20   49.3416      1   0.1859
  3.00   3.0051   5.3696    35    15   20   74.0022      1   0.1708
  4.00   4.0063   7.1584    35    15   20   98.6570      1   0.1569
  5.00   5.0072   8.9469    35    15   20  123.3069      1   0.1442
  6.00   6.0273  10.3166    36    16   20  133.3902     35   0.4555
  7.00   7.0322  11.5861    36    17   19  141.1281     31   0.4607
  8.00   8.0394  12.8024    37    18   19  147.4163     27   0.4919
  9.00   9.0401  13.9623    38    19   19  152.4823     25   0.4451
 10.00  10.0478  15.0960    38    20   18  156.7970     22   0.4782
 11.00  11.0437  15.8229    40    22   18  149.7588     24   0.3973
 12.00  12.0423  16.5847    41    24   17  144.2707     21   0.3526
 13.00  13.0469  17.3837    43    26   17  139.9503     18   0.3606
 14.00  14.0476  18.1964    44    28   16  136.4316     16   0.3398
 15.00  15.0410  19.0216    46    30   16  133.5124     15   0.2732
 16.00  16.0487  19.8778    48    32   16  131.2033     13   0.3043
 17.00  17.0474  20.7375    49    34   15  129.2442     12   0.2791
 18.00  18.0483  21.6112    51    36   15  127.6292     11   0.2682
 19.00  19.0361  22.4775    53    38   15  126.2260     11   0.1901
 20.00  20.0393  23.3736    54    40   14  125.1237     10   0.1966
 21.00  21.0455  24.2800    56    42   14  124.2200      9   0.2166
 22.00  22.0358  25.1730    58    44   14  123.4151      9   0.1625
 23.00  23.0444  26.0946    59    46   13  122.8133      8   0.1931
 24.00  24.0358  27.0029    61    48   13  122.2707      8   0.1491
 25.00  25.0483  27.9383    63    50   13  121.8940      7   0.1930
 26.00  26.0399  28.8534    65    52   13  121.5446      7   0.1535
 27.00  27.0325  29.7759    66    54   12  121.2779      7   0.1204
 28.00  28.0492  30.7290    68    56   12  121.1375      6   0.1756
 29.00  29.0417  31.6575    70    58   12  120.9995      6   0.1436
 30.00  30.0347  32.5886    72    60   12  120.9183      6   0.1158
 31.00  31.0289  33.5228    73    62   11  120.8888      6   0.0932
 32.00  32.0240  34.4645    75    64   11  120.9052      6   0.0749
 33.00  33.0436  35.4338    77    66   11  121.0021      5   0.1321
 34.00  34.0377  36.3768    79    68   11  121.0898      5   0.1108
