Tested with "bedtest.m," driving "testbed," using "PG->NI->Plant,"
with PW function "PWnew3.m" and PH function "PHsimp.m"

                                   Error 
    Goal      Peak      SS       (ss-goal)
-------------------------------------------------
    0.1000    0.1857    0.1741    0.0741
    0.2000    0.3138    0.2941    0.0941
    0.3000    0.4459    0.4185    0.1185
    0.4000    0.5442    0.5107    0.1107
    0.5000    0.6263    0.5877    0.0877
    0.6000    0.6936    0.6509    0.0509
    0.7000    0.7476    0.7016    0.0016
    0.8000    0.7895    0.7409   -0.0591
    0.9000    0.8208    0.7703   -0.1297
    1.0000    1.0444    0.9854   -0.0146
    1.1000    1.1477    1.0854   -0.0146
    1.2000    1.2830    1.2175    0.0175
    1.3000    1.3645    1.2976   -0.0024
    1.4000    1.4877    1.4196    0.0196
    1.5000    1.5662    1.4979   -0.0021
    1.6000    1.6795    1.6118    0.0118
    1.7000    1.7466    1.6797   -0.0203
    1.8000    1.8623    1.7972   -0.0028
    1.9000    1.9462    1.8826   -0.0174

    2.0000    2.0777    2.0166    0.0166
    3.0000    3.1435    3.0613    0.0613
    4.0000    4.0042    3.9122   -0.0878
    5.0000    4.9661    4.8745   -0.1255
    6.0000    5.9409    5.8573   -0.1427
    7.0000    6.9295    6.8622   -0.1378
    8.0000    7.9259    7.8831   -0.1169
    9.0000    8.9255    8.9147   -0.0853
   10.0000    9.9524    9.9524   -0.0476

   11.0000   10.9923   10.9923   -0.0077
   12.0000   12.0314   12.0314    0.0314
   13.0000   13.0670   13.0670    0.0670
   14.0000   14.0972   14.0972    0.0972
   15.0000   15.1207   15.1207    0.1207
   16.0000   16.1364   16.1364    0.1364
   17.0000   17.1441   17.1441    0.1441
   18.0000   18.1436   18.1436    0.1436
   19.0000   19.1353   19.1353    0.1353
   20.0000   20.1197   20.1197    0.1197

   21.0000   21.0978   21.0978    0.0978
   22.0000   22.0707   22.0707    0.0707
   23.0000   23.0397   23.0397    0.0397
   24.0000   24.0063   24.0063    0.0063
   25.0000   24.9718   24.9718   -0.0282
   26.0000   25.9379   25.9379   -0.0621
   27.0000   26.9062   26.9062   -0.0938
   28.0000   27.8781   27.8781   -0.1219
   29.0000   28.8551   28.8551   -0.1449
   30.0000   29.8383   29.8383   -0.1617

   31.0000   30.8288   30.8288   -0.1712
   32.0000   31.8276   31.8276   -0.1724
   33.0000   32.8351   32.8351   -0.1649
   34.0000   33.8516   33.8516   -0.1484
   35.0000   34.8769   34.8769   -0.1231
   36.0000   35.9105   35.9105   -0.0895
   37.0000   36.9513   36.9513   -0.0487
   38.0000   37.9979   37.9979   -0.0021
   39.0000   39.0481   39.0481    0.0481
   40.0000   40.0992   40.0992    0.0992

   41.0000   41.1480   41.1480    0.1480
   42.0000   42.1905   42.1905    0.1905
   43.0000   43.2218   43.2218    0.2218
   44.0000   44.2364   44.2364    0.2364
   45.0000   45.2280   45.2280    0.2280
   46.0000   46.1894   46.1894    0.1894
   47.0000   47.1123   47.1123    0.1123
   48.0000   47.9877   47.9877   -0.0123
   49.0000   48.8055   48.8055   -0.1945
   50.0000   49.5544   49.5544   -0.4456
