     goal      peak     ss       PW (ms)    PH        tries    %error
    ------------------------------------------------------------------
    0.1000    0.1052    0.0987   10.0000    1.9758    1.0000   -1.2762
    0.2000    0.2063    0.1936   10.0000    3.8788    1.0000   -3.1904
    0.3000    0.3251    0.3051   10.0000    6.0970    1.0000    1.7016
    0.4000    0.4262    0.4000   10.0000    8.0000    1.0000    0.0001
    0.5000    0.5328    0.5000   10.0000   10.0000    1.0000    0.0001
    0.6000    0.6448    0.6051   10.0000   12.0970    1.0000    0.8508
    0.7000    0.7493    0.7032   10.0000   14.0606    1.0000    0.4558
    0.8000    0.8525    0.8000   10.0000   16.0000    1.0000    0.0001
    0.9000    0.9563    0.8974   10.0000   17.9515    1.0000   -0.2836
    1.0000    1.0585    0.9988   12.5000   16.0365    1.0000   -0.1202
    2.0000    2.0596    1.9990   25.0000   15.9930   23.0000   -0.0497
    3.0000    3.0815    3.0009   26.6667   22.6527   53.0000    0.0303
    4.0000    4.0950    4.0010   28.3333   28.6402   45.0000    0.0238
    5.0000    5.0949    5.0009   30.0000   33.3385   27.0000    0.0183
    6.0000    6.0866    6.0009   32.0000   37.5048   45.0000    0.0154
    7.0000    7.0695    7.0009   34.0000   41.1807   41.0000    0.0123
    8.0000    8.0444    8.0009   36.0000   44.4488   36.0000    0.0119
    9.0000    9.0118    9.0009   38.0000   47.3721   31.0000    0.0097
   10.0000    9.9991    9.9991   40.0000   49.9965   14.0000   -0.0088
   11.0000   11.0008   11.0008   42.0000   52.3840   34.0000    0.0073
   12.0000   12.0009   12.0009   44.0000   54.5486   31.0000    0.0074
   13.0000   13.0010   13.0010   46.0000   56.5251   28.0000    0.0076
   14.0000   14.0008   14.0008   48.0000   58.3359   26.0000    0.0057
   15.0000   15.0009   15.0009   50.0000   60.0027   22.0000    0.0059
   16.0000   16.0008   16.0008   52.0000   61.5407   26.0000    0.0048
   17.0000   17.0008   17.0008   54.0000   62.9651   24.0000    0.0046
   18.0000   18.0008   18.0008   56.0000   64.2878   22.0000    0.0043
   19.0000   19.0009   19.0009   58.0000   65.5195   19.0000    0.0048
   20.0000   20.0010   20.0010   60.0000   66.6690   14.0000    0.0048
   21.0000   21.0009   21.0009   62.0000   67.7440   21.0000    0.0042
   22.0000   22.0008   22.0008   64.0000   68.7518   20.0000    0.0036
   23.0000   23.0007   23.0007   66.0000   69.6985   19.0000    0.0030
   24.0000   24.0008   24.0008   68.0000   70.5900   17.0000    0.0035
   25.0000   25.0009   25.0009   70.0000   71.4304   15.0000    0.0036
   26.0000   26.0008   26.0008   72.0000   72.2238   17.0000    0.0030
   27.0000   27.0007   27.0007   74.0000   72.9744   16.0000    0.0027
   28.0000   28.0006   28.0006   76.0000   73.6854   15.0000    0.0022
   29.0000   29.0007   29.0007   78.0000   74.3602   13.0000    0.0023
   30.0000   29.9999   29.9999   80.0000   75.0001    1.0000   -0.0003
   31.0000   31.0007   31.0007   82.0000   75.6110   14.0000    0.0023
   32.0000   32.0006   32.0006   84.0000   76.1916   13.0000    0.0020
   33.0000   33.0008   33.0008   86.0000   76.7455   11.0000    0.0024
   34.0000   33.9990   33.9990   88.0000   77.2717    5.0000   -0.0029
   35.0000   34.9994   34.9994   90.0000   77.7773   11.0000   -0.0017
   36.0000   36.0008   36.0008   92.0000   78.2621   13.0000    0.0022
   37.0000   37.0010   37.0010   94.0000   78.7248   12.0000    0.0027
   38.0000   38.0007   38.0007   96.0000   79.1677   12.0000    0.0017
   39.0000   39.0008   39.0008   98.0000   79.5930   11.0000    0.0021
   40.0000   40.0010   40.0010  100.0000   80.0013   10.0000    0.0024
   41.0000   41.0010   41.0010  102.0000   80.3935   11.0000    0.0024
   42.0000   42.0007   42.0007  104.0000   80.7702   11.0000    0.0016
   43.0000   43.0010   43.0010  106.0000   81.1333   10.0000    0.0023
   44.0000   44.0007   44.0007  108.0000   81.4824   10.0000    0.0015
   45.0000   45.0009   45.0009  110.0000   81.8193    9.0000    0.0020
   46.0000   46.0008   46.0008  112.0000   82.1439   10.0000    0.0018
   47.0000   47.0006   47.0006  114.0000   82.4570   10.0000    0.0012
   48.0000   48.0010   48.0010  116.0000   82.7598    9.0000    0.0020
   49.0000   49.0007   49.0007  118.0000   83.0518    9.0000    0.0014
   50.0000   50.0005   50.0005  120.0000   83.3341    9.0000    0.0009
