     goal      peak     ss       PW (ms)    PH        tries    %error
    ------------------------------------------------------------------
    0.1000    0.1171    0.1102   10.0000    1.8814    1.0000   10.2488
    0.2000    0.2102    0.1974   10.0000    3.8225    1.0000   -1.3166
    0.3000    0.3423    0.3216   10.0000    6.3570    1.0000    7.2040
    0.4000    0.4107    0.3848   10.0000    8.3401    1.0000   -3.8084
    0.5000    0.5316    0.4984   10.0000   10.7449    1.0000   -0.3287
    0.6000    0.6310    0.5916   10.0000   12.7539    1.0000   -1.3924
    0.7000    0.7494    0.7037   10.0000   13.9072    1.0000    0.5219
    0.8000    0.8592    0.8068   10.0000   15.9186    2.0000    0.8523
    0.9000    0.9534    0.8957   10.0000   17.2534    1.0000   -0.4726
    1.0000    1.0505    0.9909   12.5000   16.2362    5.0000   -0.9079
    2.0000    2.0591    1.9990   25.0000   15.8988   18.0000   -0.0475
    3.0000    3.0843    3.0010   26.6667   22.9792   58.0000    0.0317
    4.0000    4.0905    4.0011   28.3333   28.1213    1.0000    0.0275
    5.0000    5.1033    5.0080   30.0000   33.5898    6.0000    0.1598
    6.0000    6.0927    6.0009   32.0000   38.1131   49.0000    0.0150
    7.0000    7.0805    7.0010   34.0000   42.1295   43.0000    0.0142
    8.0000    8.0573    8.0009   36.0000   45.4138   39.0000    0.0111
    9.0000    9.0236    9.0009   38.0000   48.1584   32.0000    0.0105
   10.0000   10.1392   10.1328   40.0000   49.8978    2.0000    1.3279
   11.0000   10.8559   10.8487   42.0000   53.1566    2.0000   -1.3758
   12.0000   12.0084   12.0008   44.0000   55.4412   33.0000    0.0067
   13.0000   13.0085   13.0008   46.0000   57.4447   30.0000    0.0062
   14.0000   14.0090   14.0008   48.0000   57.8727   27.0000    0.0056
   15.0000   15.0099   15.0008   50.0000   61.2648   17.0000    0.0054
   16.0000   16.0101   16.0009   52.0000   61.4917   27.0000    0.0054
   17.0000   17.0104   17.0009   54.0000   62.7797   25.0000    0.0052
   18.0000   18.0118   18.0007   56.0000   63.1063   24.0000    0.0042
   19.0000   19.0116   19.0009   58.0000   66.2499   18.0000    0.0049
   20.0000   20.0162   20.0010   60.0000   66.7364   14.0000    0.0049
   21.0000   21.0139   21.0008   62.0000   67.0810   22.0000    0.0040
   22.0000   22.0140   22.0009   64.0000   67.8598   21.0000    0.0042
   23.0000   22.5904   22.5770   66.0000   70.1614    1.0000   -1.8390
   24.0000   24.0151   24.0008   68.0000   71.2935   17.0000    0.0034
   25.0000   25.0139   24.9990   70.0000   72.6022   10.0000   -0.0039
   26.0000   26.0153   26.0009   72.0000   71.6070   18.0000    0.0036
   27.0000   26.8646   26.8486   74.0000   73.1374    3.0000   -0.5609
   28.0000   28.0173   28.0009   76.0000   73.7816   15.0000    0.0031
   29.0000   29.0181   29.0007   78.0000   73.7168   15.0000    0.0024
   30.0000   30.0185   30.0007   80.0000   74.9691    7.0000    0.0023
   31.0000   31.0187   31.0009   82.0000   74.8237   15.0000    0.0029
   32.0000   32.0184   32.0010   84.0000   75.6383   13.0000    0.0030
   33.0000   33.0189   32.9994   86.0000   77.3401    9.0000   -0.0018
   34.0000   34.0192   33.9993   88.0000   77.6139   11.0000   -0.0022
   35.0000   35.0197   35.0006   90.0000   77.2283    6.0000    0.0017
   36.0000   36.0190   35.9992   92.0000   79.5708   12.0000   -0.0023
   37.0000   37.0215   37.0009   94.0000   79.8681   12.0000    0.0024
   38.0000   38.0172   38.0007   96.0000   78.6675   13.0000    0.0019
   39.0000   39.0182   39.0010   98.0000   78.8043   12.0000    0.0025
   40.0000   40.0233   39.9994  100.0000   81.1895    9.0000   -0.0014
   41.0000   41.0246   41.0008  102.0000   80.8040   12.0000    0.0020
   42.0000   42.0255   42.0008  104.0000   80.2023   10.0000    0.0018
   43.0000   43.0253   43.0007  106.0000   81.5560   11.0000    0.0016
   44.0000   44.0268   44.0008  108.0000   80.9076   11.0000    0.0018
   45.0000   45.0243   44.9994  110.0000   82.8769    7.0000   -0.0013
   46.0000   46.0245   45.9993  112.0000   83.0521   11.0000   -0.0015
   47.0000   47.0231   47.0007  114.0000   83.9498    9.0000    0.0015
   48.0000   48.0200   48.0005  116.0000   83.3826   10.0000    0.0011
   49.0000   49.0274   49.0009  118.0000   82.7927    9.0000    0.0018
   50.0000   50.0286   50.0008  120.0000   84.4188    6.0000    0.0015
